reason,source_manufacturer,source_film_name,source_box_count,target_manufacturer,target_film_name,target_film_key,affected_rows
"fingerprint_unique_match","Solyx","SOLYX Etched Dual Dot Gradient SXJ0583","1","Solyx","Etched Dual Dot Gradient SXJ0583","SOLYX|ETCHED DUAL DOT GRADIENT SXJ0583","1"
"fingerprint_unique_match","Solyx","Solyx Frosted Jacks SXW08","1","Solyx","Frosted Jacks SXW08","SOLYX|FROSTED JACKS SXW08","1"
"fingerprint_unique_match","Solyx","Solyx Frosted Sparkle SX324","1","Solyx","Frosted Sparkle SX324","SOLYX|FROSTED SPARKLE SX324","1"
"fingerprint_unique_match","Solyx","Solyx Frosted Stripes SXC3510","1","Solyx","Frosted Stripes SXC3510","SOLYX|FROSTED STRIPES SXC3510","1"
"fingerprint_unique_match","Solyx","Solyx Frosted Summer SX1545","1","Solyx","Frosted Summer SX1545","SOLYX|FROSTED SUMMER SX1545","1"
"fingerprint_unique_match","Solyx","SOLYX Gotham SX3148","1","Solyx","Gotham SX3148","SOLYX|GOTHAM SX3148","1"
"fingerprint_unique_match","Solyx","Solyx Light Etch SXGF0197","1","Solyx","Light Etch SXGF0197","SOLYX|LIGHT ETCH SXGF0197","1"
"fingerprint_unique_match","Solyx","SOLYX LINEN SX-C387","1","Solyx","LINEN SX-C387","SOLYX|LINEN SX-C387","1"
"fingerprint_unique_match","Solyx","SOLYX MAGNETIC White Dry Erase for Glass SX2097","1","Solyx","MAGNETIC White Dry Erase For Glass SX2097","SOLYX|MAGNETIC WHITE DRY ERASE FOR GLASS SX2097","1"
"fingerprint_unique_match","Solyx","Solyx Matte Dual Fine Dots Grad. SXJ0581","1","Solyx","Matte Dual Fine Dots Grad. SXJ0581","SOLYX|MATTE DUAL FINE DOTS GRAD. SXJ0581","1"
"fingerprint_unique_match","Solyx","Solyx Matte Linen SX5031","1","Solyx","Matte Linen SX5031","SOLYX|MATTE LINEN SX5031","1"
"fingerprint_unique_match","Solyx","Solyx Olive/Gold Dusted Leaf SX3145","1","Solyx","Olive/gold Dusted Leaf SX3145","SOLYX|OLIVE/GOLD DUSTED LEAF SX3145","1"
"fingerprint_unique_match","Solyx","SOLYX one way perf SX1940","1","Solyx","One Way Perf SX1940","SOLYX|ONE WAY PERF SX1940","1"
"fingerprint_unique_match","Solyx","Solyx Organic Cotton SX3146","1","Solyx","Organic Cotton SX3146","SOLYX|ORGANIC COTTON SX3146","1"
"fingerprint_unique_match","Solyx","Solyx Pin Point SXC333","1","Solyx","Pin Point SXC333","SOLYX|PIN POINT SXC333","1"
"fingerprint_unique_match","Solyx","Solyx Rhombus SX1730","1","Solyx","Rhombus SX1730","SOLYX|RHOMBUS SX1730","1"
"fingerprint_unique_match","Solyx","Solyx Ribbed Glass Clear SX-9050","1","Solyx","Ribbed Glass Clear SX-9050","SOLYX|RIBBED GLASS CLEAR SX-9050","1"
"fingerprint_unique_match","Solyx","Solyx Sambe SX5037","1","Solyx","Sambe SX5037","SOLYX|SAMBE SX5037","1"
"fingerprint_unique_match","Solyx","Solyx Sand Blast Dark Gray SXB-73","1","Solyx","Sand Blast Dark Gray SXB-73","SOLYX|SAND BLAST DARK GRAY SXB-73","1"
"fingerprint_unique_match","Solyx","Solyx Sand Blast Squares 1-1/8"" SX1700","1","Solyx","Sand Blast Squares 1-1/8"" SX1700","SOLYX|SAND BLAST SQUARES 1-1/8"" SX1700","1"
"fingerprint_unique_match","Solyx","Solyx Satin Silver Opaque SXWFSM","1","Solyx","Satin Silver Opaque SXWFSM","SOLYX|SATIN SILVER OPAQUE SXWFSM","1"
"fingerprint_unique_match","Solyx","Solyx Semi Transparent Clear Frost SX1325","1","Solyx","Semi Transparent Clear Frost SX1325","SOLYX|SEMI TRANSPARENT CLEAR FROST SX1325","1"
