boxId,status,manufacturer,filmName,widthIn,initialFeet,feetAvailable,orderDate,receivedDate,lastCheckoutJob,lastCheckoutDate,zeroedDate,zeroedReason,zeroedBy
"IL1-6293","IN_STOCK","Security","3M S140","60","13","13","2023-07-31","2023-07-31","","","","",""
"IL1-6304","IN_STOCK","3M Fasara","Bird Divert","12","170","170","2023-02-13","2023-02-13","","","","",""
"IL1-6322","IN_STOCK","3M Fasara","Feather Friendly Harmony","48","70","70","2023-02-13","2023-02-13","","","","",""
"IL1-6326","IN_STOCK","3M Solar","Prestige 70","72","6","6","2023-07-31","2023-07-31","","","","",""
"IL1-6331","IN_STOCK","Avery Dennison","Blue Sandstone","48","10","10","2023-02-13","2023-02-13","","","","",""
"IL1-6332","IN_STOCK","3M Fasara","Fabric Sagano SH2PTSA2","50","53","53","2023-02-13","2023-02-13","","","","",""
"IL1-6339","IN_STOCK","Security","Madico Safetyshield 800","60","20","20","2023-07-31","2023-07-31","","","","",""
"IL1-6345","IN_STOCK","Vinyl","Oracal 8500 Middle Gray","50","150","150","2025-02-13","2025-02-13","","","","",""
"IL1-6370","IN_STOCK","Solar Gard","Truevue 15","60","15","15","2023-07-31","2023-07-31","","","","",""
"IL1-6371","IN_STOCK","SOLYX","Whiteout SXWF-WO","72","8","8","2023-07-31","2023-07-31","","","","",""
"IL1-6379","IN_STOCK","3M Solar","Prestige 70","36","8","8","2023-07-31","2023-07-31","","","","",""
"IL1-6388","IN_STOCK","SOLYX","SX-C380 Organic Etch Stripes","48","34","34","2023-07-31","2023-07-31","","","","",""
"IL1-6413","IN_STOCK","3M Solar","Night Vision 25","36","16","16","2023-07-31","2023-07-31","","","","",""
"IL1-6418","IN_STOCK","Llumar","SCL SR PS8 (Clear)","72","92","92","2025-07-31","2025-07-31","","","","",""
"IL1-6435","IN_STOCK","Avery Dennison","DR Grey 10X","48","20","20","2023-02-13","2023-02-13","","","","",""
"IL1-6452","IN_STOCK","Security","Madico Safetyshield 1500","60","100","100","2023-07-31","2023-07-31","","","","",""
"IL1-6464","IN_STOCK","3M Fasara","Feather Friendly Harmony","36","70","70","2023-02-13","2023-02-13","","","","",""
"IL1-6466","IN_STOCK","3M Fasara","San Marino Milky Milky SH2MAMM","50","78","78","2023-02-13","2023-02-13","","","","",""
"IL1-6473","IN_STOCK","Llumar","Frost (NRM PS2)","48","86","86","2025-07-31","2025-07-31","","","","",""
"IL1-6495","IN_STOCK","Security","3M Ultra S800","36","16","16","2023-07-31","2023-07-31","","","","",""
"IL1-6497","IN_STOCK","Security","3M S2400","60","16","16","2023-07-31","2023-07-31","","","","",""
"IL1-6514","IN_STOCK","Security","3M Ultra S800","36","80","80","2023-07-31","2023-07-31","","","","",""
"IL1-6536","IN_STOCK","Llumar","RN07","48","25","25","2025-07-31","2025-07-31","","","","",""
"IL1-6574","IN_STOCK","Solar Gard","Truevue 15","48","75","75","2023-07-31","2023-07-31","","","","",""
"IL1-6578","IN_STOCK","3M Solar","Night Vision 15","36","46","46","2023-07-31","2023-07-31","","","","",""
"IL1-6583","IN_STOCK","Security","Madico Safetyshield 800","72","30","30","2023-07-31","2023-07-31","","","","",""
"IL1-6585","IN_STOCK","Llumar","N1020B SR CDF (Bronze)","60","12","12","2025-07-31","2025-07-31","","","","",""
