"row_number","description","lot","box_id","id_token","width","raw_zeroed_date","original_known_date","inferred_zeroed_date","date_resolution_method"
"863","5448 - 3M PR 70 EXT 72""","D129324520","IL-5448","5448","72","","","2026-01-14","back_fill_from_next"
"864","5441 - 3M PR 50 72""","D192324562","IL-5441","5441","72","","","2026-01-14","back_fill_from_next"
"865","5725 - Llumar Frost NRM PS2 72""","453L053","IL-5725","5725","72","","","2026-01-14","back_fill_from_next"
"866","5414 - Llumar Frost NRM PS2 72""","463J079","IL-5414","5414","72","","","2026-01-14","back_fill_from_next"
"867","5901 - Llumar Frost NRM PS2 72""","44B026","IL-5901","5901","72","","","2026-01-14","back_fill_from_next"
"868","5982 - Llumar Frost NRM PS2 36""","414C075","IL-5982","5982","36","","","2026-01-14","back_fill_from_next"
"869","5436 - Madico Safetyshield 800 60""","2.32683025E9","IL-5436","5436","60","","","2026-01-14","back_fill_from_next"
"870","3031 - PRX 40 Ext 72""","A256323751","IL-3031","3031","72","","","2026-01-14","back_fill_from_next"
"871","3199 - 3M  Affinity  30   60""","","IL-3199","3199","60","","","2026-01-14","back_fill_from_next"
"872","4077 - Llumar Frost NRM PS2 48""","463B042","IL-4077","4077","48","","","2026-01-14","back_fill_from_next"
"873","5989 - Avery E-lite 45 72""","RC3225964","IL-5989","5989","72","","","2026-01-14","back_fill_from_next"
"874","5990 - Avery E-lite 45 60""","RC1921703","IL-5990","5990","60","","","2026-01-14","back_fill_from_next"
"875","M255 -SG  Truevue 30 60""","","M255","M255","60","","","2026-01-14","back_fill_from_next"
"876","5827 - Madico Safetyshield 800 48""","2.400330027E9","IL-5827","5827","48","","","2026-01-14","back_fill_from_next"
"877","5817 - Madico Safetyshield 800 48""","2.334230109E9","IL-5817","5817","48","","","2026-01-14","back_fill_from_next"
"878","5744 - Madico Safetyshield 800 48""","2.334230155E9","IL-5744","5744","48","","","2026-01-14","back_fill_from_next"
"879","5897 - Madico 7 Mil Ext CL700E 60""","2.403630239E9","IL-5897","5897","60","","","2026-01-14","back_fill_from_next"
"880","5177 - Madico Clear 7 Mil EXT CL700E 60""","2.31653405E9","IL-5177","5177","60","","","2026-01-14","back_fill_from_next"
"881","5818 - Madico Safetyshield 800 72""","2.333830198E9","IL-5818","5818","72","","","2026-01-14","back_fill_from_next"
"882","5843 - Madico Safetyshield 1500 72""","2.400930361E9","IL-5843","5843","72","","","2026-01-14","back_fill_from_next"
"883","5866 - Madico Safetyshield 1500 60""","2.402330484E9","IL-5866","5866","60","","","2026-01-14","back_fill_from_next"
"884","5867 - Madico Safetyshield 1500 72""","2.400930363E9","IL-5867","5867","72","","","2026-01-14","back_fill_from_next"
"885","6031 - 3M PR 50 36""","D269324616","IL-6031","6031","36","","","2026-01-14","back_fill_from_next"
"886","5745 - Madico Safetyshield 800 60""","2.334230141E9","IL-5745","5745","60","","","2026-01-14","back_fill_from_next"
"887","5717 - Madico Safetyshield 1500 60""","2.329730162E9","IL-5717","5717","60","","","2026-01-14","back_fill_from_next"
"888","5751 - Madico Safetyshield 1500 60""","2.333530422E9","IL-5751","5751","60","","","2026-01-14","back_fill_from_next"
"889","5803 - Madico Safetyshield 1500 72""","2.333430221E9","IL-5803","5803","72","","","2026-01-14","back_fill_from_next"
"890","5804 - Madico Safetyshield 1500 72""","2.333430206E9","IL-5804","5804","72","","","2026-01-14","back_fill_from_next"
"891","5792 - Madico Safetyshield 800 48""","2.334230299E9","IL-5792","5792","48","","","2026-01-14","back_fill_from_next"
"892","5793 - Madico Safetyshield 800 48""","2.334230299E9","IL-5793","5793","48","","","2026-01-14","back_fill_from_next"
"893","5794 - Madico Safetyshield 800 48""","2.334230295E9","IL-5794","5794","48","","","2026-01-14","back_fill_from_next"
"894","5795 - Madico Safetyshield 800 48""","2.334230316E9","IL-5795","5795","48","","","2026-01-14","back_fill_from_next"
"895","5424 - Madico Safetyshield 800 60""","2.324430265E9","IL-5424","5424","60","","","2026-01-14","back_fill_from_next"
"896","5435 - Madico Safetyshield 800 72""","2.326430057E9","IL-5435","5435","72","","","2026-01-14","back_fill_from_next"
"897","5397 - Madico Safetyshield 1500 60""","2.329730314E9","IL-5397","5397","60","","","2026-01-14","back_fill_from_next"
"898","5719 - Madico Safetyshield 1500 60""","2.329830182E9","IL-5719","5719","60","","","2026-01-14","back_fill_from_next"
"899","3195- 3M Dusted Crystal 48"" (1 of 2)","G2102407","IL-3195","3195","48","","","2026-01-14","back_fill_from_next"
